Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Sh. Dinesh Mills,__NA__,Textiles - Products,101.14,98.09,46.63,51.42,14.52,14.52,19.85,90.26,6.85,9.64,6.98,291.38,Moderate Profitability
Sh. Ganesh Elas.,__NA__,Finance & Investments,23.57,17.37,1.63,1.01,2.01,2.01,2.12,2.96,8.78,6.92,38.62,12.86,Moderate Profitability
Sh. Hari Chem.,__NA__,Dyes And Pigments,138.33,136.37,2.29,0.75,5.88,5.88,8.16,5.15,2.75,1.66,12.4,34.04,Low Profitability
Sh. Jagdamba Pol,__NA__,Packaging,361.94,318.0,32.27,30.37,52.93,52.93,60.73,36.85,15.38,8.92,21.12,638.42,Moderate Profitability
Sh. Karthik Pap.,__NA__,Paper,64.84,68.93,0.34,0.86,1.33,1.33,2.24,0.18,3.21,0.52,4.93,20.79,Low Profitability
Sh. Krish. Infr.,__NA__,Construction,0.87,,0.03,,0.04,0.04,0.09,0.03,10.34,3.45,0.35,93.32,Low Profitability
Sh. Krishna Pap.,__NA__,Paper,144.35,153.3,0.38,1.33,4.12,4.12,8.24,0.28,4.96,0.27,6.9,54.43,Low Profitability
Sh. Rajas. Synt.,__NA__,Textiles - Spinning - Synthetic / Blended,25.29,36.15,112.15,-36.78,1.56,1.56,3.47,40.04,-33.97,-0.47,26.44,13.44,Loss-making
Sh. Rama Multi.,SHREERAMA,Packaging,177.7,178.14,9.96,10.4,10.79,10.79,16.54,0.75,8.52,5.6,9.24,373.96,Moderate Profitability
Sh. Steel Wire,__NA__,Steel - Medium / Small,9.96,10.93,-0.15,-0.2,-0.15,-0.15,0.18,-0.45,0.4,-1.51,-1.11,12.68,Loss-making
Sh.Pushkar Chem.,SHREEPUSHK,Dyes And Pigments,726.17,715.7,37.06,36.78,49.8,49.8,71.42,11.72,8.36,5.1,9.15,660.96,Moderate Profitability
Sh.Renuka Sugar,RENUKA,Sugar,11319.0,10181.2,-627.2,-471.6,456.2,456.2,722.4,-2.95,5.95,-5.54,10.09,10538.13,Loss-making
Shah Alloys,SHAHALLOYS,Steel - Medium / Small,613.24,638.48,-18.64,-29.43,-5.51,-5.51,3.39,-9.42,0.55,-1.5,-5.63,123.83,Loss-making
Shah Foods,__NA__,Food - Processing - Indian,0.0,0.0,-0.22,-0.13,-0.22,-0.22,-0.22,-3.68,,,,14.69,Unknown
Shah Metacorp,SHAH,Steel - Medium / Small,96.77,71.16,4.26,-3.47,4.42,4.42,7.94,0.1,3.71,4.4,4.94,169.3,Low Profitability
Shahi Shipping,__NA__,Shipping,12.43,11.88,2.59,1.69,2.71,2.71,3.17,1.79,14.88,20.84,23.03,24.81,High Profitability
Shahlon Silk,__NA__,Textiles - Products,310.88,260.09,3.98,3.15,20.56,20.56,28.38,0.45,8.96,1.21,8.84,186.2,Low Profitability
Shaily Engineer.,SHAILY,Plastics Products,643.87,607.81,57.29,47.88,87.75,87.75,123.44,12.49,18.16,8.9,13.97,3701.51,Moderate Profitability
Shakti Press,__NA__,Printing & Stationery,11.58,10.99,0.48,1.4,1.44,1.44,2.29,1.36,19.6,4.15,4.52,10.94,Low Profitability
Shakti Pumps,SHAKTIPUMP,Pumps,1370.74,944.12,141.71,54.3,209.37,209.37,228.4,70.73,16.4,10.34,31.44,7710.3,Moderate Profitability
Shalby,SHALBY,Healthcare,933.75,888.5,83.5,81.35,144.22,144.22,196.46,7.78,18.96,8.94,11.75,2932.46,Moderate Profitability
Shalibhadra Fin.,__NA__,Finance & Investments,32.78,31.08,11.97,11.01,22.6,22.6,22.67,17.1,69.16,36.52,15.83,436.1,High Profitability
Shalimar Agencie,__NA__,Finance & Investments,0.0,0.0,-0.05,-0.03,-0.05,-0.05,-0.05,-0.17,,,-1.76,12.79,Unknown
Shalimar Paints,SHALPAINTS,Paints / Varnishes,534.91,526.01,-73.85,-57.05,-60.89,-60.89,-46.05,-8.82,-10.13,-13.81,-12.28,1184.51,Loss-making
Shalimar Prod.,__NA__,Entertainment / Electronic Media Software,2.09,1.71,0.07,-0.27,0.1,0.1,0.19,0.0,9.09,3.35,0.1,69.88,Low Profitability
Shalimar Wires,__NA__,Textiles - Products,128.5,125.37,1.47,5.76,12.07,12.07,24.99,0.34,15.72,-0.4,9.74,94.02,Loss-making
Shamrock Indl.,__NA__,Trading,0.11,0.11,-0.04,-0.04,-0.04,-0.04,-0.04,-0.07,-36.36,-36.36,-2.29,6.54,Loss-making
Shangar Decor,__NA__,Miscellaneous,12.99,6.31,0.75,0.13,1.12,1.12,2.45,0.61,18.78,5.77,6.94,10.2,Moderate Profitability
Shankar Lal Ram.,__NA__,Trading,287.73,298.38,6.48,5.91,9.59,9.59,9.68,1.01,3.27,2.25,9.01,671.66,Low Profitability
Shankara Build.,SHANKARA,Trading,4828.44,4661.91,81.13,76.05,139.24,139.24,155.15,33.46,3.13,1.66,17.53,1665.54,Low Profitability
Shantai Indust.,__NA__,Trading,1.29,0.31,-0.06,-0.19,-0.06,-0.06,-0.06,-0.4,-6.98,-4.65,-0.81,5.27,Loss-making
Shanthala,SHANTHALA,Trading,41.33,,0.29,,0.61,0.61,0.64,0.43,0.24,0.7,10.34,47.89,Low Profitability
Shanthi Gears,SHANTIGEAR,Engineering,536.05,505.81,82.25,76.04,109.64,109.64,122.85,10.72,18.99,15.34,33.86,4825.06,High Profitability
Shanti Educat.,__NA__,Miscellaneous,14.3,23.54,3.18,7.4,4.67,4.67,4.93,0.2,8.04,22.24,7.34,1360.45,High Profitability
Shanti Guru Inds,__NA__,Trading,0.0,,-0.1,,-0.1,-0.1,-0.1,-0.08,,,-0.7,22.72,Unknown
Shanti Overseas,SHANTI,Food - Processing - Indian,10.66,14.45,-1.53,-8.29,-1.88,-1.88,-1.67,-1.38,-22.89,-14.35,-11.89,17.58,Loss-making
Shanti Spintex,__NA__,Textiles - Cotton/Blended,505.83,,13.02,,21.13,21.13,25.9,7.71,4.87,2.57,21.6,107.73,Low Profitability
Shantidoot Infra,__NA__,Construction,10.0,,1.24,,1.7,1.7,1.92,6.9,19.2,12.4,35.34,28.05,Moderate Profitability
Sharanam Infra,__NA__,Trading,1.76,0.0,0.03,-0.2,0.02,0.02,0.03,0.0,1.7,1.7,0.27,6.6,Low Profitability
Sharat Industrie,__NA__,Aquaculture,302.16,300.09,5.87,5.85,17.04,17.04,21.74,2.45,7.0,1.94,9.81,133.98,Low Profitability
Sharda Cropchem,SHARDACROP,Pesticides / Agrochemicals - Indian,3163.02,3332.79,31.9,87.27,75.49,75.49,342.62,3.53,8.94,1.01,3.36,4312.56,Low Profitability
Sharda Ispat,__NA__,Steel - Medium / Small,227.27,216.53,13.97,11.7,20.15,20.15,21.0,27.52,8.46,6.15,31.24,338.02,Moderate Profitability
Sharda Motor,SHARDAMOTR,Auto Ancillaries,2809.26,2794.03,294.9,269.73,396.73,396.73,449.29,99.19,12.87,10.5,42.77,6730.64,Moderate Profitability
Shardul Sec.,__NA__,Finance & Investments,172.91,114.97,97.81,77.0,163.13,163.13,163.52,55.9,94.11,56.57,28.96,442.75,High Profitability
Share India Sec.,SHAREINDIA,Finance & Investments,1482.81,1358.17,425.76,416.89,648.67,648.67,662.73,22.22,44.29,28.76,38.34,5761.27,High Profitability
Sharika Enterpr.,__NA__,Trading,78.42,70.46,1.53,-4.8,2.37,2.37,3.12,0.35,1.54,1.95,5.9,98.77,Low Profitability
Sharp Chucks and,SCML,Castings & Forgings,201.66,,6.1,,8.52,8.52,15.03,5.67,7.27,3.02,5.97,118.36,Low Profitability
Sharp India,__NA__,Electronics - Consumer,0.0,0.0,-17.85,-17.03,-9.21,-9.21,-9.04,-6.88,,-52500.0,-1535.0,225.67,Loss-making
Sharp Investment,__NA__,Finance & Investments,0.26,0.13,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61,Low Profitability
Sharpline Broadc,__NA__,Miscellaneous,31.49,32.23,1.54,6.35,2.17,2.17,2.83,0.92,6.38,4.92,6.33,11.16,Low Profitability
Shashank Traders,__NA__,Trading,0.0,0.0,-0.16,-0.33,-0.16,-0.16,-0.16,-0.52,,-1250.0,-4.17,7.49,Loss-making
Shashijit Infra.,__NA__,Construction,27.35,30.59,-0.61,0.55,1.35,1.35,2.31,-0.12,8.08,1.21,5.68,33.73,Low Profitability
Shashwat Furnis.,__NA__,Miscellaneous,3.06,,-0.92,,-0.73,-0.73,-0.5,-4.41,-16.99,-30.07,-13.64,8.87,Loss-making
Sheela Foam,SFL,Miscellaneous,2982.31,2866.21,183.93,162.39,265.12,265.12,380.91,16.78,10.2,4.65,7.97,10108.85,Low Profitability
Sheetal Cool,SCPL,Food - Processing - Indian,352.71,328.83,20.84,17.43,37.11,37.11,46.28,19.85,12.33,5.91,19.66,584.43,Moderate Profitability
Sheetal Univer.,SHEETAL,Food - Processing - Indian,134.79,,2.08,,4.48,4.48,5.3,1.82,3.93,1.54,22.34,66.33,Low Profitability
Shekhawati Poly.,SPYL,Textiles - Processing,76.75,86.42,153.99,6.16,11.03,11.03,19.38,4.47,20.94,14.24,35.14,148.91,Moderate Profitability
Shelter Infra,__NA__,Miscellaneous,1.64,1.41,-0.19,-0.32,-0.17,-0.17,-0.08,-0.53,-15.24,-11.59,-0.79,4.23,Loss-making
Shelter Pharma,__NA__,Pharmaceuticals - Indian - Bulk Drugs,40.02,,6.2,,8.33,8.33,8.58,5.36,21.44,15.49,51.14,57.69,High Profitability
Shemaroo Entert.,SHEMAROO,Entertainment / Electronic Media Software,707.2,672.83,-39.92,-21.36,-0.94,-0.94,4.63,-14.94,-0.04,-5.64,-0.1,400.28,Loss-making
Shera Energy,SHERA,Mining / Minerals / Metals,875.1,741.51,14.05,10.97,47.01,47.01,52.55,5.21,5.87,1.42,20.09,412.79,Low Profitability
Shervani Indl Sy,__NA__,Construction,142.7,121.78,30.85,52.24,33.89,33.89,34.87,114.22,20.95,21.62,20.37,162.38,High Profitability
Sheshadri Indus.,__NA__,Textiles - Products,25.23,24.38,-2.53,-0.93,-2.07,-2.07,-0.28,-5.1,-11.38,-15.42,-17.49,7.39,Loss-making
Shetron,__NA__,Packaging,239.88,243.38,6.53,6.55,18.02,18.02,24.12,7.25,9.7,2.72,15.31,99.9,Low Profitability
Shigan Quantum,SHIGAN,Auto Ancillaries,151.94,,5.38,,11.85,11.85,15.08,2.97,8.5,3.54,13.38,186.74,Low Profitability
Shilchar Tech.,__NA__,Electric Equipment,396.88,386.44,91.89,83.15,123.53,123.53,126.13,120.48,28.55,23.15,74.63,4421.41,High Profitability
Shilp Gravures,__NA__,Mining / Minerals / Metals,77.7,77.0,11.21,11.25,14.82,14.82,19.18,18.23,13.35,14.43,15.53,100.02,Moderate Profitability
Shilpa Medicare,SHILPAMED,Pharmaceuticals - Indian - Formulations,1151.6,1123.47,31.95,-0.6,140.02,140.02,247.89,3.67,20.82,2.69,5.27,5587.79,Low Profitability
Shine Fashions,__NA__,Trading,54.13,,3.94,,5.3,5.3,5.32,13.97,9.72,7.28,63.02,49.52,Moderate Profitability
Shipping Land,SCILAL,Miscellaneous,17.22,,47.49,,55.11,55.11,55.8,1.02,-150.52,275.78,1.72,3749.66,High Profitability
Shish Industries,__NA__,Plastics Products,85.48,79.08,8.43,5.42,12.08,12.08,13.2,2.41,12.34,9.86,21.34,491.31,Moderate Profitability
Shiva Cement,__NA__,Cement - South India,346.73,202.28,-68.32,-87.75,9.86,9.86,41.35,-2.32,11.22,-19.7,0.77,1482.68,Loss-making
Shiva Global,__NA__,Fertilizers,394.81,448.22,-24.88,-5.14,-12.09,18.26,21.12,-18.27,-2.62,1.05,6.94,46.47,Low Profitability
Shiva Granito,__NA__,Mining / Minerals / Metals,5.44,,0.83,,1.48,1.48,1.66,0.63,7.17,15.26,13.75,19.49,High Profitability
Shiva Mills,SHIVAMILLS,Textiles - Spinning - Synthetic / Blended,157.92,148.13,-3.25,-5.6,-3.17,-3.17,3.55,-3.76,1.68,-2.06,-3.07,80.75,Loss-making
Shiva Texyarn,SHIVATEX,Textiles - Cotton/Blended,335.28,362.47,-11.08,-9.95,-2.73,-2.73,12.1,-8.55,2.24,-3.3,-1.17,222.77,Loss-making
Shivagrico Impl.,__NA__,Castings & Forgings,43.6,40.91,0.07,0.05,1.26,1.26,2.61,0.14,5.99,0.16,4.96,11.74,Low Profitability
Shivalic,SPCL,Electric Equipment,82.16,,7.16,,12.04,12.04,13.28,71.23,15.51,8.73,26.0,241.16,Moderate Profitability
Shivalik Bimetal,SBCL,Mining / Minerals / Metals,449.4,447.76,81.13,74.73,112.66,112.66,122.77,14.08,22.78,18.05,33.79,3412.47,High Profitability
Shivalik Rasayan,SHIVALIK,Pesticides / Agrochemicals - Indian,272.98,264.68,18.07,20.55,30.78,30.78,43.16,10.51,14.35,6.62,5.8,990.65,Moderate Profitability
Shivam,__NA__,Trading,146.54,,1.21,,2.75,2.75,3.9,0.98,2.28,0.81,10.24,83.9,Low Profitability
Shivam Autotech,SHIVAMAUTO,Auto Ancillaries,469.66,461.37,-50.19,-53.41,11.28,11.28,47.24,-4.11,9.22,-10.69,2.82,499.51,Loss-making
Shivansh Finserv,__NA__,Finance & Investments,0.46,0.0,0.05,0.07,0.64,0.64,0.66,0.08,-73.91,10.87,2.3,2.88,Moderate Profitability
Shoora Designs,__NA__,Diamond Cutting / Jewellery,4.44,,-0.04,,0.02,0.02,0.03,-0.27,0.68,-0.9,1.26,6.89,Loss-making
Shoppers Stop,SHOPERSTOP,Textiles - Products,4316.59,4194.15,77.25,68.33,335.4,335.4,771.97,7.03,16.61,1.89,11.84,8220.15,Low Profitability
Shraddha Prime,__NA__,Construction,83.81,61.72,6.56,14.24,10.66,10.66,10.7,3.23,11.59,7.83,8.55,231.2,Moderate Profitability
Shradha AI Tech,__NA__,Trading,17.27,16.95,6.39,5.07,8.66,8.66,8.72,2.62,41.81,37.0,17.75,225.48,High Profitability
Shradha Infrapr.,SHRADHA,Construction,110.45,125.27,20.02,14.13,24.87,24.87,28.32,9.21,19.68,18.13,10.15,281.98,High Profitability
Shree Bhavya,__NA__,Textiles - Processing,170.59,173.87,1.93,1.63,10.17,10.17,11.03,2.03,6.21,1.13,11.27,19.85,Low Profitability
Shree Cement,SHREECEM,Cement - North India,20520.98,20188.36,2396.16,2245.62,3217.54,3217.54,5114.86,663.98,22.01,11.68,14.69,101934.44,Moderate Profitability
Shree Ganesh Bio,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,20.28,24.47,0.62,0.42,0.86,0.86,0.86,0.02,-0.99,3.06,1.37,46.24,Low Profitability
Shree Ganesh Rem,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,125.9,117.91,28.12,22.43,38.77,38.77,44.88,21.97,33.21,22.34,27.59,1046.04,High Profitability
Shree Hanuman Sg,__NA__,Sugar,0.0,0.0,-0.26,-7.16,-0.26,-0.26,-0.26,-0.14,,,-0.12,31.27,Unknown
Shree Karni,SHREEKARNI,Textiles - Products,137.08,,15.39,,23.09,23.09,26.19,20.8,18.59,11.23,,431.4,Moderate Profitability
Shree Marutinand,__NA__,Trading,91.78,,2.63,,4.15,4.15,4.23,7.6,4.45,2.83,42.13,75.08,Low Profitability
Shree Metalloys,__NA__,Trading,94.54,90.67,0.51,0.42,0.75,0.75,0.98,0.97,0.87,0.54,8.79,19.31,Low Profitability
Shree Mfg. Co.,__NA__,Textiles - Cotton/Blended,0.0,0.0,-0.34,-0.28,-0.13,-0.13,-0.13,-0.41,,,,13.1,Unknown
Shree OSFM,SHREEOSFM,Miscellaneous,118.19,,8.1,,10.89,10.89,14.15,5.67,11.24,6.85,36.72,242.26,Moderate Profitability
Shree Pacetronix,__NA__,Healthcare,22.04,22.91,3.36,3.89,4.99,4.99,5.94,9.33,26.32,15.25,34.1,80.62,High Profitability
Shree Precoated,__NA__,Construction,0.0,0.0,-0.58,-0.53,-0.58,-0.58,-0.58,-1.4,,,,6.21,Unknown
Shree Ram Prote.,SRPL,Solvent Extraction,14.77,39.07,-9.58,-5.34,-8.68,-8.68,-7.86,-0.22,-55.52,-64.86,-9.84,50.55,Loss-making
Shree Rama News.,RAMANEWS,Miscellaneous,47.04,47.41,-48.36,-133.7,3.71,3.71,7.85,-3.28,13.92,-69.96,0.77,290.92,Loss-making
Shree Securities,__NA__,Finance & Investments,0.71,0.7,-59.37,0.03,-13.55,-13.55,-13.55,-0.74,-1908.45,-1908.45,-82.93,28.73,Loss-making
Shree Tirupati,TIRUPATI,Packaging,161.11,,14.11,,22.89,22.89,25.45,13.93,14.23,8.76,20.5,703.58,Moderate Profitability
Shree Vasu Logis,SVLL,Miscellaneous,123.07,117.42,3.12,3.17,14.57,14.57,34.05,2.72,26.58,2.54,19.55,270.86,Low Profitability
Shreeji Translog,__NA__,Miscellaneous,250.5,241.54,16.28,16.93,26.33,26.33,30.74,2.33,7.51,6.5,27.79,188.14,Moderate Profitability
Shreeoswal Seeds,OSWALSEEDS,Miscellaneous,269.03,251.88,-4.16,-0.88,0.59,0.59,1.11,-0.45,0.37,-1.55,0.62,247.88,Loss-making
Shreeshay Engi.,__NA__,Construction,18.13,,1.09,,1.47,1.47,1.47,0.83,7.17,6.01,6.45,39.31,Moderate Profitability
Shreevatsaa Fin.,__NA__,Finance & Investments,0.87,0.87,0.44,0.53,0.58,0.58,0.58,0.44,62.07,50.57,2.62,23.03,High Profitability
Shrenik,SHRENIK,Trading,34.19,40.2,-108.95,-3.35,-108.5,-108.5,-108.19,-1.78,-331.18,-318.66,-140.84,70.99,Loss-making
Shreyans Inds.,SHREYANIND,Paper,699.17,759.25,87.42,96.63,118.99,118.99,132.57,63.24,13.96,12.5,31.27,381.44,Moderate Profitability
Shreyas Interm.,__NA__,Dyes And Pigments,0.0,0.0,-1.58,-1.8,-1.58,-1.58,0.12,-0.22,,,-5.54,73.69,Unknown
Shreyas Shipping,SHREYAS,Shipping,282.39,273.86,-51.01,-35.34,-9.96,-9.96,69.69,-23.23,8.45,-17.95,-0.8,738.94,Loss-making
Shri Balaji,__NA__,Engineering,82.56,,8.33,,12.7,12.7,14.79,10.21,17.28,10.04,34.6,199.14,Moderate Profitability
Shri Gang Indus,__NA__,Breweries & Distilleries,265.73,263.38,14.79,22.08,25.3,25.3,30.47,8.25,11.26,4.35,27.65,132.13,Low Profitability
Shri Keshav,__NA__,Cement - South India,126.45,122.35,9.13,-19.39,29.48,29.48,41.46,5.21,30.78,8.72,11.25,352.16,Moderate Profitability
Shri Krishna,__NA__,Construction,25.45,36.64,4.45,7.95,9.64,9.64,9.87,1.59,36.94,17.49,7.33,98.0,High Profitability
Shri Techtex,SHRITECH,Textiles - Products,76.38,,12.28,,19.23,19.23,21.16,4.92,25.52,16.08,31.01,154.69,High Profitability
Shri Vasuprada,__NA__,Tea,107.62,106.12,-6.59,-10.15,-13.23,-13.23,-5.74,-8.0,-8.45,-16.65,-6.72,79.53,Loss-making
Shri Venkatesh,__NA__,Solvent Extraction,575.23,592.56,15.03,14.5,28.83,28.83,29.83,6.79,5.12,2.61,20.11,285.45,Low Profitability
Shricon Indus.,__NA__,Construction,0.57,0.27,0.87,1.43,-0.06,-0.06,-0.04,7.02,-7.02,-17.54,-1.36,14.73,Loss-making
Shriram AMC,__NA__,Finance & Investments,8.01,7.37,-6.86,-5.41,-5.57,-5.57,-4.69,-5.27,-61.05,-85.64,-7.25,496.59,Loss-making
Shriram Finance,SHRIRAMFIN,Finance & Investments,36379.52,34441.71,7398.89,6665.79,25481.93,25481.93,26069.53,196.02,71.57,20.34,11.23,109621.49,High Profitability
Shriram Pistons,SHRIPISTON,Auto Ancillaries,3089.33,2934.78,438.66,413.6,619.59,619.59,727.3,100.47,20.78,14.2,28.28,8376.52,Moderate Profitability
Shriram Properti,SHRIRAMPPS,Construction,864.53,680.14,75.38,71.08,194.14,194.14,203.22,4.43,9.3,8.72,10.3,1916.49,Moderate Profitability
Shristi Infra,__NA__,Construction,115.38,189.42,-40.18,-87.09,-23.51,-23.51,-23.36,-18.0,-27.27,-63.39,-4.06,92.86,Loss-making
Shrydus Indust.,__NA__,Finance & Investments,9.45,11.21,0.52,0.59,0.52,0.52,0.52,0.43,5.5,5.5,5.04,22.08,Moderate Profitability
Shubham Polyspin,__NA__,Textiles - Products,49.15,46.56,0.86,0.75,2.08,2.08,3.19,0.71,3.21,1.75,8.45,29.46,Low Profitability
Shubhlaxmi Jewel,SHUBHLAXMI,Trading,68.36,,1.22,,2.78,2.78,2.98,1.39,3.29,1.78,9.44,29.49,Low Profitability
Shukra Bullions,__NA__,Diamond Cutting / Jewellery,0.59,0.61,0.02,-0.04,0.02,0.02,0.02,0.04,1.69,3.39,1.39,14.0,Low Profitability
Shukra Jewellery,__NA__,Construction,4.78,3.51,0.06,0.29,0.09,0.09,0.13,0.04,2.72,1.26,0.25,6.68,Low Profitability
Shukra Pharma.,__NA__,Pharmaceuticals - Indian - Formulations,74.57,109.94,18.54,18.53,20.17,20.17,22.22,4.23,26.02,24.86,44.25,487.8,High Profitability
Shyam Century,SHYAMCENT,Mining / Minerals / Metals,138.09,163.64,0.73,9.72,1.6,1.6,5.04,0.03,-2.59,0.53,0.98,366.01,Low Profitability
Shyam Metalics,SHYAMMETL,Steel - Large,13195.22,13016.99,1029.0,1063.61,1073.08,1073.08,1729.12,37.07,11.9,7.8,10.94,19021.44,Moderate Profitability
Shyam Telecom,SHYAMTEL,Trading,0.0,0.0,-3.13,-1.19,-2.84,-2.84,-2.69,-2.78,,,,17.75,Unknown
Shyama Infosys,__NA__,Computers - Software - Medium / Small,0.21,0.19,0.11,0.11,0.13,0.13,0.13,0.11,-23.81,52.38,1.3,6.73,High Profitability
Shyamkamal Inv,__NA__,Finance & Investments,0.0,0.0,-0.21,-0.09,-0.21,-0.21,-0.21,-0.21,,,-10.5,13.34,Unknown
Sibar Auto Parts,__NA__,Auto Ancillaries,19.88,21.25,-1.39,-0.84,-0.86,-0.86,-0.3,-0.84,-5.48,-6.84,-6.63,20.52,Loss-making
Sicagen India,__NA__,Trading,795.45,801.64,10.49,18.59,24.49,24.49,34.26,2.65,3.41,1.32,4.29,249.28,Low Profitability
Sical Logistics,SICALLOG,Miscellaneous,221.09,271.97,-28.29,-830.94,-14.21,-14.21,34.11,-3.78,7.51,-24.14,-2.17,1110.54,Loss-making
Siddha Ventures,__NA__,Finance & Investments,0.29,0.29,0.79,20.4,0.77,0.77,0.77,0.79,265.52,272.41,1.91,9.6,High Profitability
Siddhes. Garment,__NA__,Trading,0.0,0.0,0.01,0.0,0.01,0.01,0.03,,,,0.04,4.63,Unknown
Siddhika Coatins,SIDDHIKA,Miscellaneous,36.82,,4.44,,6.37,6.37,6.56,14.37,15.83,12.06,24.81,91.14,Moderate Profitability
Siel Fin. Serv.,__NA__,Finance & Investments,0.0,0.0,-0.18,-0.01,-0.18,-0.18,-0.18,-0.16,,-33.33,-400.0,55.38,Loss-making
Siemens,SIEMENS,Electric Equipment,19604.2,18755.6,2317.5,1937.1,3101.8,2575.1,2798.6,65.08,12.49,10.53,20.66,277845.05,Moderate Profitability
Sigachi Indust.,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,398.96,367.25,57.27,49.42,77.54,77.54,88.34,1.74,19.21,14.35,17.22,1992.16,Moderate Profitability
Sigma Solve,SIGMA,Computers - Software - Medium / Small,65.05,62.51,19.33,20.74,25.53,25.53,26.62,15.7,35.48,29.72,56.31,416.73,High Profitability
SignatureGlobal,SIGNATURE,Construction,1240.55,1250.84,16.32,-17.28,34.63,34.63,56.25,1.15,-2.24,1.32,1.6,20112.71,Low Profitability
Signet Industrie,SIGIND,Plastics Products,1213.04,1181.43,15.45,16.53,79.54,79.54,89.29,5.25,6.93,1.27,14.62,261.99,Low Profitability
Signoria Creatio,SIGNORIA,Textiles - Products,19.54,,2.41,,3.93,3.93,4.04,5.07,20.52,12.33,24.05,62.73,Moderate Profitability
Signpost India,SIGNPOST,Miscellaneous,387.45,446.75,44.05,47.37,74.14,74.14,91.25,8.25,21.36,11.37,,1556.44,Moderate Profitability
Sika Interplant,__NA__,Engineering,106.03,87.72,19.36,15.36,24.4,24.4,25.27,45.87,18.77,17.41,25.8,1388.57,High Profitability
Sikko Industries,SIKKO,Pesticides / Agrochemicals - Indian,61.29,54.07,4.06,3.0,6.81,6.81,7.53,2.42,6.71,6.62,20.58,154.23,Moderate Profitability
Sikozy Realtors,__NA__,Construction,0.0,0.0,-0.14,-0.12,-0.13,-0.13,-0.13,-0.03,,,-35.62,4.37,Unknown
SIL Investments,SILINV,Finance & Investments,50.96,65.44,30.01,40.56,41.83,41.83,43.54,27.76,78.92,58.89,2.07,589.24,High Profitability
Silgo Retail,SILGO,Diamond Cutting / Jewellery,35.03,38.24,3.15,3.03,5.49,5.49,5.53,1.7,15.62,8.99,9.95,68.82,Moderate Profitability
Silicon Rental,__NA__,Miscellaneous,63.25,,12.9,,17.78,17.78,39.24,12.56,61.49,20.4,33.67,167.43,High Profitability
Silicon Valley,__NA__,Finance & Investments,0.0,0.0,-0.24,-0.98,-0.24,-0.24,-0.24,-0.02,,,-80.0,0.39,Unknown
Silkflex,SILKFLEX,Trading,59.58,,3.93,,6.69,6.69,7.17,4.84,11.38,6.6,33.02,68.48,Moderate Profitability
Silly Monks,SILLYMONKS,Entertainment / Electronic Media Software,22.19,20.04,0.0,-3.93,0.17,0.17,1.05,0.0,4.55,0.0,2.24,19.05,Low Profitability
Silver Oak (I),__NA__,Breweries & Distilleries,0.01,0.02,-0.88,-1.3,-0.04,-0.04,0.18,-3.03,-14800.0,-8800.0,-0.16,27.81,Loss-making
Silver Pearl,__NA__,Hotels,1.12,,0.1,,0.11,0.11,0.31,0.13,22.32,8.93,0.82,7.46,Moderate Profitability
Silver Touch,SILVERTUC,Computers - Software - Medium / Small,227.27,192.41,16.06,13.84,23.0,23.0,27.97,12.66,12.31,7.07,20.01,930.33,Moderate Profitability
Silveroak Comm,__NA__,Construction,4.42,,-7.83,,-6.46,-6.46,-6.22,-28.47,-145.02,-177.15,-77.32,0.98,Loss-making
Simbhaoli Sugar,SIMBHALS,Sugar,1173.35,1189.89,-12.07,-23.75,18.86,18.86,46.4,-2.92,2.36,-1.03,1.99,135.42,Loss-making
Simm. Marshall,__NA__,Fasteners,192.04,189.41,3.26,4.02,11.28,11.28,18.59,2.91,9.06,1.13,9.52,130.77,Low Profitability
Simplex Castings,__NA__,Castings & Forgings,122.13,135.1,2.39,0.04,10.53,10.53,15.0,3.9,10.85,1.2,10.48,137.08,Low Profitability
Simplex Infra,SIMPLEXINF,Construction,1388.47,1501.21,-72.27,-332.88,-23.89,-23.89,45.77,-12.65,2.0,-5.21,-0.35,749.13,Loss-making
Simplex Mills,__NA__,Trading,0.0,0.0,-0.14,-0.14,0.07,0.07,0.11,-46.67,,,36.84,10.36,Unknown
Simplex Papers,__NA__,Trading,0.0,0.0,0.11,0.1,-0.21,-0.21,-0.21,36.67,,,-30.88,5.63,Unknown
Simplex Realty,__NA__,Construction,1.76,1.69,5.18,5.1,2.3,2.3,2.45,17.27,-242.05,102.84,1.96,47.84,High Profitability
Simran Farms,__NA__,Miscellaneous,486.42,451.06,0.4,6.23,2.53,2.53,4.33,1.0,0.43,0.08,3.95,50.2,Low Profitability
Sinclairs Hotels,SINCLAIR,Hotels,55.88,54.46,20.54,35.12,24.63,24.63,29.5,4.01,39.98,33.8,19.18,599.75,High Profitability
Sindhu Trade,SINDHUTRAD,Miscellaneous,1686.06,1621.39,70.77,204.16,219.47,219.47,287.36,0.46,8.14,4.2,6.57,3307.44,Low Profitability
