Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Jindal Worldwide,JINDWORLD,Textiles - Products,1814.09,1789.76,75.65,74.01,151.88,151.88,185.4,3.77,10.1,4.17,9.83,6909.94,Low Profitability
Jio Financial,JIOFIN,Finance & Investments,1853.88,,1604.55,,1966.16,1966.16,1987.68,2.53,84.06,86.55,1.55,224810.98,High Profitability
JITF Infra Logis,JITFINFRA,Miscellaneous,3283.56,3042.95,90.83,40.4,448.79,448.79,531.86,13.78,14.58,2.43,15.96,2188.55,Low Profitability
Jiwanram Sheo,JIWANRAM,Textiles - Products,43.05,,1.75,,4.28,4.28,4.95,0.71,9.38,4.07,4.25,36.63,Low Profitability
JK Agri Genetics,__NA__,Miscellaneous,148.1,158.51,-20.82,-9.75,-21.47,-21.47,-18.0,-44.9,-17.2,-14.06,-13.71,193.36,Loss-making
JK Lakshmi Cem.,JKLAKSHMI,Cement - North India,6788.47,6869.69,487.87,440.64,874.03,874.03,1119.98,40.1,15.49,7.1,17.2,10462.05,Moderate Profitability
JK Paper,JKPAPER,Paper,6659.23,6660.04,1133.2,1138.12,1532.76,1532.76,1842.86,66.22,24.26,17.02,21.22,9224.8,High Profitability
JK Tyre & Indust,JKTYRE,Tyres,15001.78,14935.8,805.94,745.84,1685.2,1685.2,2121.95,30.16,13.85,5.49,19.16,11518.75,Moderate Profitability
JLA Infraville,__NA__,Trading,0.0,,0.11,,0.15,0.15,0.17,0.17,,950.0,2.21,3.38,High Profitability
JM Financial,JMFINANCIL,Finance & Investments,4760.72,4345.62,30.75,737.21,2761.75,2761.75,2814.78,4.29,57.62,1.39,10.14,8392.0,Low Profitability
JMD Ventures,__NA__,Finance & Investments,6.25,6.79,2.09,3.6,3.0,3.0,3.04,0.72,37.28,33.92,8.34,38.9,High Profitability
JMJ Fintech,__NA__,Finance & Investments,7.46,5.18,2.14,1.84,4.71,4.71,4.89,1.73,65.55,28.69,29.88,25.42,High Profitability
JNK,JNKINDIA,Engineering,480.24,,62.65,,98.88,98.88,104.5,12.95,20.69,13.05,46.3,4646.31,Moderate Profitability
Jocil,JOCIL,Chemicals,753.2,770.98,1.73,3.16,2.98,2.98,9.08,1.95,0.68,0.23,1.4,182.39,Low Profitability
John Cockerill,__NA__,Engineering,813.68,859.21,25.26,31.43,33.58,27.58,31.43,51.16,3.79,3.15,14.03,2965.02,Low Profitability
Johnson Con. Hit,JCHAC,Air-conditioners,1918.7,1694.51,-75.71,-125.59,-55.52,-55.52,8.83,-27.84,-0.07,-2.58,-7.49,5546.31,Loss-making
Johnson Pharma,__NA__,Trading,0.0,0.0,-0.2,-0.27,-0.2,-0.2,-0.2,0.0,,10.28,-0.34,55.0,Moderate Profitability
Joindre Capital,__NA__,Finance & Investments,41.51,34.83,0.49,5.17,10.55,10.55,11.11,0.35,26.76,3.66,12.92,70.58,Low Profitability
Jointeca Educati,__NA__,Computers - Software - Medium / Small,0.1,,-1.02,,-0.92,-0.92,-0.15,-1.02,-180.0,-1020.0,-10.35,13.27,Loss-making
Jonjua Overseas,__NA__,Computers - Software - Medium / Small,3.95,,1.21,,1.63,1.63,1.95,1.53,43.29,30.63,12.67,9.65,High Profitability
Josts Engg. Co.,__NA__,Engineering,187.44,180.49,9.9,8.65,15.35,15.35,18.49,20.25,9.45,5.28,25.28,482.53,Moderate Profitability
JP Associates,JPASSOCIAT,Construction,6568.09,6734.9,-1338.98,-1223.37,440.19,440.19,824.17,-5.46,5.57,-9.79,3.15,2540.52,Loss-making
JP Power Ven.,JPPOWER,Power Generation And Supply,6762.78,6627.83,1021.95,389.17,2159.56,2159.56,2624.67,1.49,33.07,20.69,13.96,13658.92,High Profitability
JPT Securities,__NA__,Finance & Investments,0.42,0.42,-0.76,-0.18,-0.75,-0.75,-0.74,-2.53,-176.19,-180.95,-17.36,2.49,Loss-making
JSL Industries,__NA__,Electric Equipment,51.35,52.29,6.16,4.61,8.79,8.79,9.9,52.47,8.67,12.0,21.28,257.05,Moderate Profitability
JSW Energy,JSWENERGY,Power Generation And Supply,11485.91,11400.01,1724.65,1661.41,4140.25,4140.25,5773.66,10.47,46.86,14.45,8.59,130366.04,Moderate Profitability
JSW Holdings,JSWHL,Finance & Investments,169.56,167.03,155.56,163.73,157.49,157.49,157.49,140.15,92.88,91.74,0.7,8147.34,High Profitability
JSW Infrast,JSWINFRA,Miscellaneous,3762.89,3581.82,1160.69,1133.9,1797.49,1797.49,2233.97,5.5,52.21,30.85,16.61,72366.05,High Profitability
JSW Steel,JSWSTEEL,Steel - Large,175006.0,175699.0,8973.0,11392.0,20896.0,20896.0,29068.0,36.03,16.04,4.9,13.24,231217.67,Low Profitability
JTEKT India,JTEKTINDIA,Auto Ancillaries,2245.49,2151.42,106.86,95.48,145.19,145.19,226.63,4.2,9.58,4.52,17.34,5436.51,Low Profitability
JTL Industries,JTLIND,Steel - Medium / Small,2040.23,2045.4,112.56,120.12,154.7,154.7,160.26,6.56,7.46,5.52,24.67,3764.22,Moderate Profitability
Jubilant Food.,JUBLFOOD,Hotels,5654.09,5351.14,400.07,220.37,603.31,603.31,1201.27,6.05,20.22,4.64,10.94,37683.78,Low Profitability
Jubilant Inds.,JUBLINDS,Chemicals,1253.26,1296.31,28.14,24.91,94.0,94.0,109.05,18.68,8.59,4.24,23.75,2482.53,Low Profitability
Jubilant Ingrev.,JUBLINGREA,Chemicals,4135.8,4206.34,182.89,205.95,320.27,320.27,456.44,11.48,10.18,4.42,9.78,8345.5,Low Profitability
Jubilant Pharmo,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,6702.9,6622.3,72.7,34.0,611.7,611.7,993.6,4.84,13.44,0.61,6.74,11682.29,Low Profitability
Julien Agro,__NA__,Trading,21.35,6.96,0.05,-0.06,0.07,0.07,0.07,0.03,0.33,0.23,0.17,56.99,Low Profitability
Jullundur Motor,JMA,Auto Ancillaries,423.32,420.36,20.89,20.99,27.64,27.64,28.49,9.15,5.24,4.93,14.7,244.72,Low Profitability
Jumbo Bag,__NA__,Packaging,104.32,99.85,1.19,0.64,5.78,5.78,8.01,1.42,7.25,2.49,7.97,33.0,Low Profitability
Juniper Hotels,JUNIPER,Hotels,817.66,,23.8,,228.49,228.49,319.66,1.07,38.04,2.91,6.81,9349.53,Low Profitability
Jupiter Info.,__NA__,Miscellaneous,4.8,3.84,9.01,8.86,11.13,11.13,11.49,5.45,-5.0,187.71,39.69,36.39,High Profitability
Jupiter Life Lin,JLHL,Healthcare,910.63,875.79,151.95,135.56,222.48,222.48,253.0,23.18,24.53,16.69,22.16,8435.73,High Profitability
Jupiter Wagons,JWL,Engineering,3641.25,3240.03,332.8,269.36,484.49,484.49,512.02,8.07,13.49,9.14,31.7,28730.7,Moderate Profitability
Just Dial,JUSTDIAL,Miscellaneous,1042.91,1005.17,362.93,330.79,188.5,188.5,234.67,42.68,20.76,13.38,4.81,8726.84,Moderate Profitability
Jyothi Infra.,__NA__,Construction,0.0,0.0,-1.88,0.0,-0.63,-0.63,-0.63,-12.15,,,-109.57,3.9,Unknown
Jyothy Labs,JYOTHYLAB,Personal Care - Indian,2756.93,2713.89,369.3,350.41,483.57,483.57,533.53,10.06,17.4,13.4,27.97,16759.42,Moderate Profitability
Jyoti,__NA__,Electric Equipment,175.35,165.6,8.31,4.07,7.35,7.35,13.65,3.6,6.74,4.53,4.11,207.85,Low Profitability
Jyoti CNC Auto.,JYOTICNC,Engineering,1338.47,,150.86,,274.67,274.67,307.42,6.63,22.48,11.27,21.25,30494.06,Moderate Profitability
Jyoti Resins,__NA__,Chemicals,257.3,251.14,67.12,64.76,89.65,89.65,90.74,55.93,32.62,26.09,65.87,1712.88,High Profitability
Jyoti Structures,JYOTISTRUC,Transmisson Line Towers / Equipment,451.38,478.16,28.86,20.29,20.54,20.54,27.99,0.34,3.62,6.39,1.1,2385.27,Moderate Profitability
Jyotirgamya Ent.,__NA__,Trading,0.0,0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.04,,,-0.32,18.58,Unknown
K C P,KCP,Cement - South India,2846.74,2819.59,280.44,252.25,334.39,334.39,423.74,14.63,12.45,9.87,15.42,3131.53,Moderate Profitability
K E C Intl.,KEC,Transmisson Line Towers / Equipment,19914.17,19274.35,346.78,267.2,1081.62,1081.62,1266.98,13.49,6.1,1.74,14.2,22806.3,Low Profitability
K G Denim,__NA__,Textiles - Cotton/Blended,264.46,289.82,-25.73,-30.83,-12.75,-12.75,1.96,-9.99,-0.5,-10.7,-5.32,67.48,Loss-making
K K Fincorp,__NA__,Finance & Investments,0.17,0.39,0.06,0.24,0.05,0.05,0.05,0.11,-35.29,35.29,0.32,18.18,High Profitability
